sentence1	sentence2	label
yes they would they just wouldn't be able to own the kind of automobiles that they think they deserve to own or the kind of homes that we think we deserve to own we might have to you know just be able to i think if we a generation went without debt then the next generation like if if our our generation my husband and i we're twenty eight if we lived our lives and didn't become you know indebted like you know our generation before us that um the budget would balance and that we became accustomed to living with what we could afford which we wouldn't be destitute i mean we wouldn't be living on the street by any means but just compared to how spoiled we are we would be in our own minds but i feel like the generation after us would oh man it it would be so good it would be so much better it wouldn't be perfect but then they could learn to live with what what they could afford to save to buy and if you want a nicer car than that well you save a little longer	I am glad our generation has no debt.	2
guess it didn't last too long at the box office but i thought it was pretty good	I guess it wasn't in the box office for a long period of time due to poor sales, but I still thought it was great.	1
The story also made the front page of the New York Times and the Financial Times of London, which said that more than 10,000 members of a mystic cult called Fa Lun Gong caused acute embarrassment to security forces by virtually surrounding the compound where China's leaders work.	The New York Times neglected to cover the Fa Lun Gong story in their papers.	2
There are no means of destroying it; and he dare not keep it. 	He should keep it with him.	2
EPA estimates that 5.6 million acres of lakes, estuaries and wetlands and 43,500 miles of streams, rivers and coasts are impaired by mercury emissions.	Mercury emissions have no effect on bodies of water.	2
um i've visited the Wyoming area i'm not sure exactly where Dances with Wolves was filmed	I know exactly where Dances with Wolves was filmed.	2
, less than ten years after the death of the prophet Mohamed.	The prophet Mohamed didn't exist.	2
Pick up a map from the tourist office here and ask about walking tours.	The people at the tourist office are friendly and well-informed.	1
Julius nodded gravely.	Julius nodded solemnly after hearing sad news. 	1
Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. 	We had no interest in him at all.	2
and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	I do not miss the excitement of what it was like when we first came here. 	2
Exhibitions are often held in the splendid entrance hall.	The entrance hall is kept clear of any exhibitions.	2
well the first thing for me is i wonder i see a couple of different ways of talking about what privacy is um if privacy is something that disturbs your private state i mean an invasion of privacy is something that disturbs your private state that's one thing and if privacy is something that comes into your private state and extracts information from it in other words finds something out about you that's another and the first kind of invasion of the first type of privacy seems invaded to me in very much everyday in this country but in the second type at least overtly uh where someone comes in and uh finds out information about you that should be private uh does not seem uh um obviously everyday	Privacy is very simple, I can explain it to you in a few words, without long and hard to understand sentences.	2
The spot does leave the viewer wondering about the rest of the story, and what tale the condom could tell.	The spot leaves the viewer pondering the stories resolution and how the condom fits in.	0
Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...	Critics believe Goodman played a great father in this role.	1
To see the desert at its best, go out at dawn and at sunset.	Go at noon to see the desert for the best view.	2
uh there's uh some very nice places like the bass which is a uh sort of a huge monolithic rocks that you can you can walk up the beach and into these uh enormous caverns that are partially submerged and you can wade in the pools and so forth very popular tourist spot	The rocks have a lot of different species of lichen on them. 	1
Since The Bell Curve was published, it has become clear that almost everything about it was inexcusably  suspect data, mistakes in statistical procedures that would have flunked a sophomore (Murray--Herrnstein is deceased--clearly does not understand what a correlation coefficient means), deliberate suppression of contrary evidence, you name it.	The Bell Curve authors made up some of their conclusions to bolster their hypothesis.	1
The average length of a rural route is 55 miles.	100 miles is the average for a rural route.	2
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as	It all happened after the enactment of this section as	2
Yes, undoubtedly the hand of Mr. Brown! Mr. Carter paused.	No identity could be assigned to the severed appendage. 	2
Last year, Arafat cracked down on Hamas after a string of bombings in Tel Aviv and Jerusalem, arresting more than 1,200 suspected terrorists, destroying Hamas safe houses, and confiscating its weapons caches.	Arafat stood back and watched Hamas attack Tel Aviv and Jerusalem.	2
see too much crime on TV and they think it's way to go i don't know what do you think	They don't see crime on TV.	2
so we've been out here well really in the house since December and we've been uh planting flowers that we could never plant in San Antonio uh	This is the best place to plant flowers.	1
yeah because being a student i'm doing it for the money	I'm no longer a student, so I don't need the money anymore.	2
yeah and i'll do this uh sometimes i'll put my after I pour that into my back into my saucepan i'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg so	Sometimes I put the eggs in the same dish and add the cornstarch.	0
The state legislature provides significant bipartisan support for the legal services delivery system.	State legislature provides no legal delivery system	2
oh thank God i've never been to Midland	I go to Midland every other weekend. 	2
Answer? said Julius.	Julius already knew the answer.	2
Marina del Rey is another, where you can also charter a yacht.	One can charter a yacht in Marina del Rey.	0
so he donates a lot not everything but a lot of the material then what he doesn't donate we just go out and buy	Much of the material, but not all of it, is donated by him.	0
She buried his remains to spare her mother the gruesome sight.	The gruesome sight that her mother would have encountered was spared when she buried his remains.	0
uh-huh well it's good that she does that i mean bring it to people's attention	She never brought anything to anyone's attention.  	2
 Then he ran.	He then started to run.	0
Additional information is provided to help managers incorporate the standards into their daily operations.	This information was developed thanks to extra federal funding.	1
yeah that that i i had a i had a program due and uh one one window i had the program and the other one i had the program running so if there was ever a mistake i could easily check you know i could look at the program and say this is where i made the error	Because of the way it worked it was simple for me to keep track of my mistakes.	0
Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.	Children today are symbols of success and status.	0
But overinterpretation or even misinterpretation are not the same as bias.	misinterpretation is the same as being bias. 	2
Until all members of our society are afforded that access, this promise of our government will continue to be unfulfilled.	The promise of our government is met regardless if everyone can afford that access	2
you know it took away a lot of of time from them we did go out to you know to the places that you typically take children to and we had a lot of fun but it seems as though the time went by so fast that	Time went by fast and we went golfing with the kids.	1
Civil libertarians denounced it as an improper church-state partnership, a sectarian scheme to milk the taxpayer, and a feel-good diversion from the rest of the coalition's agenda.	The coalition's core agenda is to reduce government's role in daily life.	1
Then I considered.	Afterwards, I thought about it.	0
The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.	The Azalea Festival is the largest festival in the world.  	1
and oh okay and then went to Colorado	The poor local job market pushed me to move to the booming state of Colorado.	1
Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.	Czarek was welcomed into the group.	0
Another quarter billion plus dollars of the total amount sought was earmarked to pay down operating debt accrued in past years.	Another quarter billion dollars or more was earmarked to pay down debt.	0
But I've seen five other bodies come down like this.	It is unacceptable the way these bodies are coming down.	1
it'll be a nice little bit of money we're going to	We are not going to make any money on new venture.	2
In the same issue, a document entitled Analysis Regarding The Food And Drug Administration's Jurisdiction Over Nicotine-Containing Cigarettes And Smokeless Tobacco Products was published and comments were requested.	A document was published about the FDA's jurisdiction over cigarettes.	0
Poor Dave, she said.	She felt bad for Dave, he died a terrible death.	1
The Weekly Standard argues that America should back Lee with words now and, if necessary, military force later, but the Washington Post reports that the U.S. envoys will pressure him to back down.	The Weekly Standard and Washington Post have opposing views on how the U.S. will approach Lee.	0
I understand, mademoiselle, I understand all you feel. 	I have no clue how you feel, madam.	2
The analyses utilized different assumptions and generally resulted in smaller expenditure impact estimates than noted above.	Despite using different assumptions, the analyses came up with the same result as noted.	2
Sometimes it flattens entire neighbourhoods to make life easier for them.	They do not mean to flatten neighborhoods.	2
On the west side of the square is Old King's House (built in 1762), which was the official residence of the British governor; it was here that the proclamation of emancipation was issued in 1838.	The Old King's House had an incident where the King was murdered inside of it.	1
Jon twisted the man's wrist.	Jon grabbed the man and yelled at him.	1
'I see.'	I saw it.	0
much with whatever it's with the Black the Black problem or whatever that may be now	The Black issue arose hundreds of years ago.	1
Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.	 I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant.	0
I did so.	I did what I was told to do.	1
In Texas, the ability to produce fairly stated external financial reports was only the first step in building a more effective, resultsoriented government.	The first step to building a more effective government in Texas was the ability to produce fairly stated external financial reports.	0
'Why isn't a lookalike good enough for them?'	What are the reasons the lookalike isn't good enough?	0
Daniel nodded, fetching me a glass of beer.	Daniel got me a vodka and tonic. 	2
8 Follow-up to the May 8, 2001, Hearing Regarding the IRS Restructuring Act's Goals and IRS Funding ( GAO-01-903R, June 29, 2001), and IRS  Continued Improvement in Management Capability Needed to Support Long-Term Transformation	The IRS hearing on the Reconstruction Act and IRS Funding was in 2002.	2
They copied Louis XIV's centralized administration and tax-collection, and by the 18th century Turin was a sparkling royal capital built, quite unlike any other Italian city, in classical French manner.	In 1775 Turin was a brand new capital.	1
um we tried that but we really weren't happy with it so he does that all himself now	He does that all himself now, after we tried. 	0
true yeah i know it isn't that ridiculous we have cable which helps a lot	We have cable, but even that is useless.	2
The order was founded by James VII (James II of England) and continues today.	James VII never founded anything that lasted beyond his reign.	2
In these cases, participants risk losing not only their jobs but also a significant portion of their retirement savings if their company files for bankruptcy.	Participants risk losing their jobs and a significant portion of their retirement savings if their company files for bankruptcy.	0
3)  Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?	Would you rise up and reject any rules that come up	0
Even though national saving remains relatively low by U.S. historical standards, economic growth in recent years has been high because more and better investments were made.	Americans are not saving much.	0
Because GAO's primary function is to support the Congress in carrying out its decision-making and oversight responsibilities, the number of times our experts testify before congressional panels each year is an indicator of our responsiveness and reflects the impact, importance, and value of our work.	They refused to provide any support to the Congress.	2
yeah i mean just when uh the they military paid for her education	Her education was paid for by the military.	0
The following are examples of how agencies engaged employee unions.	There are certain examples of how employee unions can be engaged by certain agencies.	0
Abortive countrywide revolts	The unrest could be stopped quickly.	1
Much of Among Giants affords an agreeable blend of the gritty and the synthetic, and the two main actors are a treat.	Much Among Giants is a movie.	1
The agencies requesting guidance on internal controls when implementing fast pay have also designed procedures to verify receipt and acceptance of goods ordered on an afterthefact sampling basis rather than on the basis of a 100percent postpayment verification as is traditionally done.	The agencies requesting guidance were not involved with designing new procedures.	2
Michael B. Wachter of the University of Pennsylvania and his colleagues conclude that there is a wage and fringe benefit premium for the postal bargaining labor force of 29.	Wachter works for University of Chicago.	2
His politeness sounded strange coming from a desert nomad.	Being such a young desert nomad, his politeness sounded strange.	1
They are all quotations from the Old Testament Book of Aunt Ruth.	The Old Testament was read to the children in the church.	1
Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters.	Groups were formed to coordinate technology training around the state.	0
A politician connected with the home service of his parliamentary section's boss, with the mobile phone number 0-609-3459812, and known for his lack of sense of humor, did not take too well to a message from 'Admirer' - 'Wishes shovel best'.	Upon calling his boss's home service, the politician didn't take too kindly to a message from an 'admirer'.	0
Grantees statistically sample the cases closed in the previous year to determine if the sampled cases generally meet the requirements for reporting cases to LSC.	Grantees are not going to pay attention to cases closed in the last year.	2
Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios.	there have been disappointing earning reports from intel.	0
While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.	The NIPA measure reflects how government savings affects national saving available for invest, but the unified budget measure is more commonly used.	0
Albino Alligator (Miramax).	Albino alligators are very rare in wild.	1
A fresh access of pain seized the unfortunate old lady. 	The lady lay calmly, with no signs of pain on her face.	2
This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.	Auditors can use this site to find tools and resources and learn about best practices.	0
Also, the final rule is not intended to have any retroactive effect and administrative procedures must be exhausted prior to any judicial challenge to the provisions of the rule.	The final rule isn't meant to have a retroactive effect but only affect legislation in the next year.	1
3 It should be noted that the toxicity (LC50) of a sample observed in a range-finding test may be significantly different from the toxicity observed in the follow-up chronic definitive test  (1) the definitive test is longer; and (2) the test may be performed with a sample collected at a different time, and possibly differing significantly in the level of toxicity.	The toxicity of a sample in the range-finding test might be very different from the toxicity in the follow-up test because solutions change depending on temperature.	1
'Of course.'	Yes, that's absolutely true.	0
We look forward to receiving comments from the readers of this paper.	They discourage people from making comments about the paper.	2
In the north, the snowcapped Alps and jagged pink pinnacles of the Dolomites; the gleaming Alpine-backed lakes of Como, Garda, and Maggiore; the fertile and industrial plain of the Po, stretching from Turin and Milan across to ancient Verona; the Palladian-villa studded hills of Vicenza; and the romantic canals of Venice.	The Alps are covered in snow year-round so they are great for skiing.	1
"It's just the beginning!"""	This is the ending!	2
well and i i noticed since we moved down here to Texas my husband is originally from Texas but uh i'm not and that you don't have to have uh such a wide variety of seasonal clothes that you do up north where you have to	Texans always have a wide variety of seasonal clothes. 	2
It doesn't seem expensive--they use it in Bangladesh, after all.	If it's used in Bangladesh and the rest of South Asia, it's a cheap item.	1
It's conceivable that some of these allegations are true, and there's no harm in checking them out, as long as the decedent's family agrees to participate.	Some of the allegations might be true.	0
You're all right now.	The struggle and pain is over. 	1
The spot does leave the viewer wondering about the rest of the story, and what tale the condom could tell.	The spot resolves the storyline neatly for viewers, especially regarding the condom.	2
North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.	The village of Moria contains the ruins of a massive Roman aqueduct.	0
I lay awake waiting until I judged it must be about two o'clock in the morning.	I actually lay awake until two-fifteen in the morning. 	1
He had to try something.	The man had to try and do something. 	0
For example, the CFO Council and the Office of Management and Budget (OMB) are aggressively working on eight priority initiatives outlined in the1998 Federal Financial Management Status Report and FiveYear Plan.	The CFO Council and the OMB are working hard on several priority initiatives.	0
First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.	They only accept electronic submissions and throw away any hand written requests.	2
The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.	Women who are on welfare qualify for the implant procedure.	0
Also, lack of winter freezes means that mites normally killed off by the cold will survive.	They wanted to warn people to look for mites because of the mild winter.	1
Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. 	You mean we were so near it constantly?	0
The case law is a whole body unto itself.	The criminal law is a whole body unto itself.	2
She didn't listen.	She did not listen to the noise.	1
The Balanced Scorecard Institute is a web clearinghouse for managers to exchange information, ideas, and lessons learned in building strategic management systems using the balanced scorecard approach.	The Balanced Scorecard has recently closed due to a lack of interest.	2
Most of France went enthusiastically into World War I, and came out of it victorious yet bled white.	Most of France supported WWI.	0
 Medicare gross outlay projections based on intermediate assumptions of the 2001 HI and SMI Trustees' reports.	The HI and SMI Trustee reports also include economic condition forecasts.	1
If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.	Henry R. Wray will always be available to answer your calls and respond to any questions you may have.	1
Robust  came in third among words and phrases submitted (220 citations in the CR ), and unlike the previous two, it seems to be a genuinely new cliche; at any rate, Chatterbox hadn't previously been aware of its overuse.	Robust came in last place among the submitted words and phrases.	2
yeah that's a nice place	I've been there many times. 	1
or yeah exactly and that's what i say you'll you'll be you'll be so much better off for it as you get older because you know a lot of kids resent things that parents tell them and and stuff but it's because you've been there	Kids don't like what their parents have told them. 	0
you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank	I set things up so that my salary automatically deposits into our bank.	0
Component modularization and prefabrication off-site can reduce the amount of time cranes are needed on a site, as well as provide opportunities to reduce project schedules and construction costs and to concentrate jobs locally at the prefabrication facility.	When work is done off-site, such as prefabrication, it increases the time cranes are need on a site and raises construction costs.	2
An overall increase in prices is only possible when there has been an overall increase in the amount of money in circulation.	There is rumor that the money is circulation will double in a decade.	1
The four Javis children? asked Severn.	Severn knows nothing about the Jarvis', who have two children.	2
On the second point, Judge Newton said in a recent interview, I've heard this complaint a hundred times.	Judge Newton had heard the second point numerous times.	0
But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.	Because all of the seats were stolen, they had to eat off the floor.	1
So is the salt, drying in the huge, square pans at Las Salinas in the south.	Salt dries in pans at Las Salinas.	0
actually i think abortion's going to take a turn where there's not going to be as many because i think contraceptives are going to be more popular i mean i realize that they are popular now but i think	Contraceptives are becoming more popular because the prices are falling.	1
the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there	It holds 70,000 people.	2
Local boy Gates wisely built his 45,000-square-foot castle in suburban Seattle.	Gates built his castle in the Seattle are because he likes the weather.	1
Founded in 1979, AFFIRM's members include information resource management professionals within the federal, academic, and industry sectors.	AFFIRM recruits the top members in the management professions.	1
i always wait for the movie i don't have time to read the book	The movie is always better than the book.	1
Last year, Arafat cracked down on Hamas after a string of bombings in Tel Aviv and Jerusalem, arresting more than 1,200 suspected terrorists, destroying Hamas safe houses, and confiscating its weapons caches.	Arafat arrested over a thousand suspected terrorists.	0
Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	Everything in a mall is available without the necessity of moving your car.	0
A good time to visit is just at the end of the monsoon in October when you can see flocks of storks, egrets, and cormorants and it is ideally combined with a full-moon trip to the Taj, but there's plenty to see all year round.	The monsoon season ends in the month of October.	0
i understand i can imagine you all have much trouble up there with insects or	I can imagine how you are troubled by insects up there	0
they don't call them immigrants anymore that was back during my granddaddy's day	They used to call them immigrants.	0
I noticed that there was a long branch running out from the tree in the right direction.	The branch was positioned in the right position on purpose.  	1
that doesn't seem fair does it	That doesn't seem fair. 	0
Howard Berman of California, an influential Democrat on the House International Relations Committee.	Howard Berman of California has a lot to be ashamed of.	1
Criminal discovered in last chapter. 	Criminal discovered in the last part.	0
I take it Americans have a higher opinion of morality than you have even.	I feel that Americans value morality more than you do.	0
  There's nothing like the trendy resort clothing available here, styled on the island by the designers of the Ad-Lib group.	There are many groups of designers who style the clothing here.	1
How did this man know?	The man knew something.	0
Lifetime Extension of SCR De-NOx Catalysts Using SCR-Tech's High Efficiency Ultrasonic Regeneration Process	Researchers have found a lifetime extension of SCR De-NOx catalysts.	1
The other bank pays the fund interest based upon tiered account levels, more typical of a large commercial account.	The fund collects a flat interest rate from the bank.	2
More than half of 800,000 native islanders are children, and the mother is traditionally responsible for bringing them up, handling the money, and making key domestic decisions.	The mother is responsible for the raising of the native islander children.	0
There are actually three winding roads, or the Grande, the high road, starting out from the Avenue des Diables-Bleus in Nice; the Moyenne, the middle one, beginning at Place Max-Barel; and the Basse, along the coast from Boulevard Carnot, but usually jammed with traffic.	The Basse is a busy, winding road that runs along the coast.	0
uh-huh oh yeah i hadn't heard that one let's see i can't oh gosh that that probably wipes out my whole inventory of TV shows other than um PBS i	Some TV shows will be available.	1
oh, just about nothing.	Nearly nothing at all.	0
The island has a long history; its marble deposits were coveted around the ancient world.	In 2000 B.C.E the marble was highly desirable.	1
no i mean there there there was nothing to it i mean	I did it because I wanted to and I could.	1
Moreover, these excise taxes, like other taxes, are determined through the exercise of the power of the Government to compel payment.	Excise taxes are an exception to the general rule and are actually decided on the basis of GDP share.	2
you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank	What remains of my salary goes into our bank.	0
However unsatisfactory and over-argued the revisionist case, it did make one serious  that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.	During the Cold War, the United States acted in accordance with its national interests.	0
At the top, it bore the printed stamp of Messrs. 	They had no idea where the package had came from as it did not have a stamp.	2
All were prominent nationally known organizations.	Some organizations were obscure.	2
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something	They are not going to work on anything, because McDonald's is perfect.	2
Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.	Women do not light joss sticks nor do the climb the rock to pray.  	2
and uh uh so i've i've just been real pleased and my step father happens to work at a Ford dealership and that makes things a little easier come car time but	I have an advantage because my step father works at a Ford dealership.	0
There was no longer any  when you wanted some unbridled adult fun, Las Vegas was the place to be.	Las Vegas was the destination for pure fun for adults.	0
From Port-Louis all the way down Grande Terre's west coast to Pointe Pitre there extend vast mangrove swamps.	From Port-Louis all the way down to Pointe Pitre there extend vast magnolia swamps.	2
In other cases, we must rely on survey approaches to estimate WTP, usually through a variant of the contingent valuation approach, which generally involves directly questioning respondents for their WTP in hypothetical market situations.	Surveys can estimate WTP by questioning respondents.	0
yeah that's that's always nice when you have an animal that the kids can play with like that how old are the kids	It's good for kids to have a dog. 	1
But the third try worked better.	The third try worked better because we had proper tools.	1
Paper goods.	Paper products.	0
Expenses included in calculating net cost for education and training programs that are intended to increase or maintain national economic productive capacity shall be reported as investments in human capital as required supplementary stewardship information accompanying the financial statements of the Federal Government and its component units.	Net cost for education programs can be calculated as a way to decrease productivity.	2
yeah um gosh i think it was only like three and a half pounds and for me that's big that's why i'm saying i love to go fishing because i've never caught anything really really big um so because it's always been you know in the on a lake and uh i know they have bigger fish than that but you know three and a half pounds and that was huge for me	It was just a few pounds but I ate it all.	1
okay  i guess i'll get back to my laundry	I will go complete my weekly handwash load which is 80 percent done already. 	1
At the west end is a detailed model of the whole temple complex.	The model temple complex was built in the 1900s.	1
and if it's above six hundred you're going to have to do it and i got one thirty one	Over six hundred means nothing at all. 	2
Also in Eustace Street is an information office and a cultural center for children, The Ark .	The Ark is primarily intended for children ages 5-13.	1
Indeed, said San'doro.	No way! She yelled.	2
Jon's feeling of age and weariness must have shown.	Jon was weary and feeling his age.	0
Look out for that overseer up there.	Watch out that you do not bump your head on the overseer.	1
I regretfully acknowledge that it may even make practical sense to have a few hired guns like Norquist, Downey, and Weber around--people of value only for their connections to power, not for any knowledge or talent.	It might be a good idea to have hired guns around.	0
He threw one of them and shot the other.	He kept his gun holstered.	2
British action wouldn't have mattered.	It wouldn't have mattered if Britain got involved.	0
Huntington--like Buchanan--claims not to be a cultural  He is defending the integrity of all cultures, theirs and ours.	Both men do not care what happens to other cultures, only their own.	2
This guide will introduce you to many, but not all, of the popular Aegean Islands.	The guide includes all of the popular Aegean Islands.	2
 Jon took Susan to the mother of the boy who had befriended her.	Jon told Susan to stay where she was.	2
um i know that i had heard that uh McDonald's has gotten so much flack about sending their hot foods out in the Styrofoam that they are going to work on something	Styrofoam is not a safe thing to have near food.	1
1) FBI intelligence files indicate that Democratic fund-raiser Maria Hsia has been a Chinese agent.	It was found that Maria Hsia was a Chinese agent for more than 10 years.	1
Per week?	weekly.	0
Founded in 1979, AFFIRM's members include information resource management professionals within the federal, academic, and industry sectors.	AFFIRM was founded in the early 2000s.	2
TEST ORGANISMS	Trial Living Plants	1
The public health official's version of the line, Take my wife, please, is Tell Americans to eat kale five times a week.	Eating kale five times a week may result in your wife leaving you.	1
I said it and I'm glad.	I'm glad I said what I've been wanting to say for years.	1
On the northern slopes of this rocky outcropping is the site of the ancient capital of the island, also called Thira, which dates from the third century b.c. (when the Aegean was under Ptolemaic rule).	Is the site of the ancient asteroid impact, also called Thira.	2
Eve's Apple turns out to be a sturdier book than it seems.	Eve's Apple is an overrated book.	2
okay what types of music do you like to listen to	Do you like classical music?	1
plus i like to dance you know	Plus I love to get my groove on.	1
The questions may need to be tailored to	A majority of the questions referenced will need to be tailored to.	1
um-hum yeah i saw that for the first time yesterday in the evening	I was very impressed when I saw that yesterday.	1
There should be someone here who knew more of what was going on in this world than he did now.	He knew he was the only person with any idea of what was going on. 	2
to see this kind of thing and you know if you can do any any little bit it helps so	To observe this kind of thing and know if you can do any.	0
they eat a lot of it you know you can take your vitamins and she was telling me to take zinc so anyway i've been taking enough zinc you know  to kill a horse probably  i hope it doesn't hurt me but anyway  i did read one chapter of that	I considered but decided against taking zinc.	2
The ITC has enlisted legal services attorneys from across the state to manage each of the 12 categories, and those volunteers will organize contributions and add them to a searchable database.	They volunteers were happy to help.	1
yeah well my uh my uh probably one of the biggest decisions i think that was very strengthened for our family was rather than have one child make that decision	A very big decision strengthens our family.	0
Abortive countrywide revolts	The country is in unrest.	0
Great mistake to say too much.	It was wrong to say too much.	0
But if you do, kill them.	If the situation is that, you should kill them.	0
I felt an immeasurable 230 contempt for him… .	I felt intense disrespect for him...	0
i'm not opposed to it but when its when the time is right it will probably just kind of happen you know	I wish I had more time to think about it.	1
Two natural rock formations are always pointed out on excursions.	Four other natural rock formations are sometimes pointed out.	1
well that's good that's great	I can't believe that actually happened.	1
uh whether one might conceive  no pun intended of the possibility that there might be a kind of a deliberate uh um	You might think of the possibility.	0
Technological advances generally come in waves that crest and eventually subside.	There have been no new developments to technology.	2
Look here, you've been asking me a lot of questions.	Look here, you have been throwing a volley of questions my way.	0
That's an opportunity that very few people have had.	Not everybody get's that opportunity. 	0
Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.	Initial net scale benefits are negative when adjusted for the wage premium.	2
That story remains to be told.	The story will be told tomorrow.	1
i am surprised though that we do have so many that are in politics down here	I am surprised that a lot of women are interested in politics in this state.	1
Arsenic would put poor Emily out of the way just as well as strychnine. 	Arsenic would be just as effective as strychnine for getting rid of Emily.	0
Don't you know?	Do you not know?	0
Then he turned to Tommy.	He talked to Tommy.	1
no i i even i enjoy reading T News i try to catch it because it's another example they just they just show you the words and the facts and they they don't offer any commentary and it gives me a quick chance to to be caught up during the day because you know we don't listen to the radio at work at all so i don't like to go the whole day without hearing anything	I always check my phone for the news when I am on break.	1
And two- the personal pronoun problems were going to get serious.	The grammar was great.	2
of course you got to charge it and keep your cash	You have to keep your cash and charge it.	0
These men had never seen rain before, Jon realized.	The men had lived in the desert.	1
Kom Ombo is an unusual temple in that it is dedicated to two gods.	Rarely visited, Kom Ombo is a strange temple devoted to two gods.	1
so i don't completely agree with that either	I have different reasons for doubting each.	1
The movie doesn't come to much, though.	This movie did not exceed my expectations.	0
The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.	The WP runs a program to help the homeless	1
The Congress, which controls our funding levels, began to include many members who did not support the purpose and goals of a federal civil legal services program.	the congress has no responsibility when it comes to controlling funding levels. 	2
and not only is it you know trouble to have to drive but it takes time away from your home and your family when you're out driving	Driving is a fast experience with no downfalls.	2
(It may resemble Dungeons &amp	It could never look like Dungeons and	2
The Sikhs reacted violently to persecution, and the Marathas spread to Orissa, after which, in the year 1739, Nadir Shah of Persia invaded and carried off the Peacock Throne (broken up after his assassination).	Persecution against the Sikhs was met with violent reactions.	0
Krugman's column will henceforth be known as The Dismal Science, a phrase too famous to be ownable by anyone, except possibly British essayist Thomas Carlyle (1795-1881), who coined it.	Krugman writes a column.	0
now that's an interesting point yeah i mean once the expectations are	I did not find anything interesting at all.	2
I jumped, coat tails flapping.	I was completely naked.	2
A proserous tourist district, it is full of shopping centers and department stores, along with a number of good restaurants.	The rich tourist district has shopping centers and a good number of restaurants.  	0
It may be that the best way to read this text in the years ahead will not be with a magnifying glass, but through the looking glass--as a prism to discern what the political culture that produced Nixon shares with our own.	The political culture will not offer any lessons.	2
Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.	It is especially beautiful during the monsoon season.	1
She was taken to the infirmary, and on recovering consciousness gave her name as Jane Finn.	The hospital believed that her name was Jane Finn.  	1
The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.	The Black River is said to be the shortest in Jamaica.	2
To help identify solutions to this problem, Senators Fred Thompson and John Glenn, Chairman and Ranking Minority Member, respectively, of the Senate Committee on Governmental Affairs, requested that we study organizations with superior security programs to identify management practices that could benefit federal agencies.	There are no problems in the security of federal agencies. 	2
God i'm envious	I'm envious because it should be mine.	1
see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life	Everyone involved was the same age.	2
Based on field observations and some discussions with U.S.	It was based on field observations and discussions with the us. 	0
Criminal discovered in last chapter. 	Criminal identified in the closing pages of the book.	0
